date,sku,asin,product,category,units,listing_price,clf,oiv,customer_price
2026-03-01,SC-F-HYB-LATEX-S-72x36x6,B09XFMX37N,Hybrid Latex Mattress,Mattress,1,7405.0,950.0,8355.0,6584.0
2026-03-01,SC-F-LITEPILWPSET2-S-27X17,B0CV17V482,Fiber Lite,Pillows,1,617.0,148.0,765.0,617.0
2026-03-01,SC-F-LTX-ORTHO-D-75X48X6,B0G3CLHBKX,Latex Ortho Mattress,Mattress,1,7807.0,950.0,8757.0,7807.0
2026-03-01,SC-F-LTX-ORTHO-K-72X72X6,B0G3C251F1,Latex Ortho Mattress,Mattress,1,11307.0,1230.0,12537.0,11307.0
2026-03-01,SC-F-LTX-ORTHO-K-72X72X8,B0G3C233F8,Latex Ortho Mattress,Mattress,1,13057.0,1230.0,14287.0,12168.0
2026-03-01,SC-F-LTX-ORTHO-Q-72X66X8,B0G3C1Z7SB,Latex Ortho Mattress,Mattress,1,12637.0,0.0,12637.0,11774.0
2026-03-01,SC-F-LTX-ORTHO-Q-78X60X6,B0G3CTR224,Latex Ortho Mattress,Mattress,1,9837.0,950.0,10787.0,9190.0
2026-03-01,SC-F-LTX-ORTHO-S-72X36X6,B0G3CC722B,Latex Ortho Mattress,Mattress,2,11974.0,1620.0,13594.0,11974.0
2026-03-01,SC-F-ORIG-D-72x48x10,B0BB7KCGYN,Original Mattress,Mattress,1,10677.0,950.0,11627.0,10677.0
2026-03-01,SC-F-ORIG-K-72x70x8,B0F2TGCPMR,Original Mattress,Mattress,1,13337.0,1230.0,14567.0,12623.0
2026-03-01,SC-F-ORIG-Q-72x60x5,B0G25BHBT6,Original Mattress,Mattress,1,8913.0,950.0,9863.0,8913.0
2026-03-01,SC-F-ORIG-Q-75x66x5,B0G256TCF3,Original Mattress,Mattress,1,10236.0,950.0,11186.0,10236.0
2026-03-01,SC-F-ORIG-S-72x30x5,B0G256TW3Q,Original Mattress,Mattress,1,5411.0,810.0,6221.0,5411.0
2026-03-01,SC-F-ORIG-S-72x36x5,B0G255BCC2,Original Mattress,Mattress,1,6167.0,810.0,6977.0,5724.0
2026-03-01,SC-F-PROT-K-72x72,B0822WG76C,Protector,Bedding,2,1483.0,382.0,1865.0,1344.0
2026-03-01,SC-F-PROT-K-75x72,B0822W6ZCG,Protector,Bedding,1,756.0,191.0,947.0,756.0
2026-03-01,SC-F-PROT-Q-78x60,B0822WJWGS,Protector,Bedding,1,684.0,141.0,825.0,618.0
2026-03-01,SC-F-PROT-S-72x36,B0822W49Z9,Protector,Bedding,1,514.0,141.0,655.0,514.0
2026-03-01,SC-F-QRMTTOPPER-K-78x72x2,B0GGZTPLCW,Aeroflow Topper,Bedding,1,4600.0,0.0,4600.0,4600.0
2026-03-01,SC-F-S2CLPILW27x18,B08R7MX63N,Cloud Pillow,Pillows,4,8616.0,844.0,9460.0,7633.0
2026-03-01,SC-F-S2MFPILW-26x16x4,B08R8DC5BB,Memory Foam Pillow,Pillows,13,21910.0,2743.0,24653.0,19530.0
2026-03-01,SC-F-S4MFPILW-26x16x4,B08R8DQ3T4,Memory Foam Pillow,Pillows,2,7192.0,422.0,7614.0,7192.0
2026-03-01,SC-F-SMFPILWSET1-BAM-S-22x14,B0F1Y416FR,Small Memory Foam Pillow,Pillows,3,1956.0,444.0,2400.0,1888.0
2026-03-01,SC-F-STD-LTX-BAM-24x16,B0F2SWXPMT,Standard Latex Pillow,Pillows,1,2096.0,211.0,2307.0,2096.0
2026-03-01,SC-MFPILW-BAM-C-25x16,B09XFF5LPL,Contour Bamboo MF Pillow,Pillows,6,5036.0,888.0,5924.0,5036.0
2026-03-01,SC-PILLOW,B0822SXQGH,Memory Foam Pillow,Pillows,10,10256.0,2110.0,12366.0,10256.0
2026-03-01,SC-SLSTFTDSHEET-K-78x72,B0C2ZQVLPS,Cotton Fitted Bedsheet,Bedding,1,1510.0,198.0,1708.0,1331.0
2026-03-01,SC-ULTM-K-78x72x10,B09XGSHBKJ,Ultima Mattress,Mattress,1,19577.0,1430.0,21007.0,19577.0
2026-03-01,SC-ULTM-K-78x72x8,B09XGRWRST,Ultima Mattress,Mattress,1,16977.0,1430.0,18407.0,16977.0
2026-03-01,SC-ULTM-Q-72x60x10,B09XGTCS7M,Ultima Mattress,Mattress,1,16977.0,1430.0,18407.0,16977.0
2026-03-01,SC-ULTM-Q-75x60x8,B09XGPK5MG,Ultima Mattress,Mattress,1,14877.0,1430.0,16307.0,12819.0
2026-03-01,SC-ULTM-Q-78x60x8,B09XGNTMB7,Ultima Mattress,Mattress,1,14877.0,1430.0,16307.0,14877.0
2026-03-01,SC72366,B078BRGTDM,Original Mattress,Mattress,1,6477.0,810.0,7287.0,6477.0
2026-03-01,SC72486,B077Q9YRMY,Original Mattress,Mattress,2,16214.0,1900.0,18114.0,16214.0
2026-03-01,SC72726,B077QJVWBR,Original Mattress,Mattress,2,23114.0,2460.0,25574.0,19833.0
2026-03-01,SC75606,B0732TMKP8,Original Mattress,Mattress,1,10257.0,950.0,11207.0,9025.0
2026-03-01,SC78606,B0732WFNVL,Original Mattress,Mattress,3,31191.0,2850.0,34041.0,30057.0
2026-03-01,SC78726,B0732Y4N37,Original Mattress,Mattress,3,35811.0,3690.0,39501.0,34394.0
2026-03-01,SCP72608,B07MHZTP8Q,Original Mattress,Mattress,2,22614.0,2460.0,25074.0,22614.0
2026-03-01,SCP72728,B07M72KSRM,Original Mattress,Mattress,1,13337.0,1230.0,14567.0,11766.0
2026-03-01,SCP75488,B07NLFVP6H,Original Mattress,Mattress,1,9487.0,950.0,10437.0,9487.0
2026-03-01,SCP75608,B07MBSJ553,Original Mattress,Mattress,1,11657.0,1230.0,12887.0,11657.0
2026-03-01,SCP75728,B07MHZVDNP,Original Mattress,Mattress,2,27374.0,2460.0,29834.0,25764.0
2026-03-01,SCP78608,B07JN4C3NB,Original Mattress,Mattress,1,11935.0,1230.0,13165.0,10518.0
2026-03-01,SCP78728,B07JM7GQG4,Original Mattress,Mattress,2,27794.0,2460.0,30254.0,27794.0
2026-03-01,SCPROD75x48,B0822XBCF1,Protector,Bedding,3,1782.0,423.0,2205.0,1782.0
2026-03-01,SCPROK78x72,B0822WWZRV,Protector,Bedding,11,8269.0,2101.0,10370.0,7361.0
2026-03-02,SC-F-4TFOLD-BL-72X48,B0FHF65C2R,Tri-fold Mattress,Mattress,3,14185.0,2430.0,16615.0,13222.0
2026-03-02,SC-F-72x60x10,B09BFDR5TH,Original Mattress,Mattress,2,25814.0,2460.0,28274.0,25121.0
2026-03-02,SC-F-BDPILW19x50,B08KS2YSFR,Cuddle Pillow,Pillows,1,1296.0,211.0,1507.0,1296.0
2026-03-02,SC-F-CLD-SPR-K-75x72x8,B0DGTCXZ9M,Cloud Spring Mattress,Mattress,1,21077.0,1430.0,22507.0,21077.0
2026-03-02,SC-F-CLD-SPR-K-78x72x8,B0DGT8T9Q4,Cloud Spring Mattress,Mattress,1,21077.0,1430.0,22507.0,19952.0
2026-03-02,SC-F-CLD-SPR-Q-75x60x8,B0DGSX75PJ,Cloud Spring Mattress,Mattress,1,18277.0,0.0,18277.0,16190.0
2026-03-02,SC-F-CON-MFPILWS2-BAM-24x14,B09XFG77VR,Contour Bamboo MF Pillow,Pillows,2,3646.0,422.0,4068.0,3646.0
2026-03-02,SC-F-DGRDVTCOVER-S-90x60,B0CW9S9W8F,Cotton Duvet cover,Bedding,1,1015.0,256.0,1271.0,1015.0
2026-03-02,SC-F-HYB-LATEX-D-72x48x6,B09XFLYZ66,Hybrid Latex Mattress,Mattress,2,18088.0,1900.0,19988.0,17887.0
2026-03-02,SC-F-HYB-LATEX-D-72x48x8,B09XGGGNN9,Hybrid Latex Mattress,Mattress,1,10721.0,950.0,11671.0,10721.0
2026-03-02,SC-F-HYB-LATEX-D-75x48x6,B09XGGFP7W,Hybrid Latex Mattress,Mattress,1,9281.0,0.0,9281.0,9281.0
2026-03-02,SC-F-HYB-LATEX-K-72x70x6,B0F2TGQH37,Hybrid Latex Mattress,Mattress,1,13457.0,1230.0,14687.0,11954.0
2026-03-02,SC-F-HYB-LATEX-K-72x72x8,B09XFMGSKV,Hybrid Latex Mattress,Mattress,1,15121.0,1430.0,16551.0,15121.0
2026-03-02,SC-F-HYB-LATEX-K-75x72x6,B09XFLVCHN,Hybrid Latex Mattress,Mattress,1,13457.0,1230.0,14687.0,11616.0
2026-03-02,SC-F-HYB-LATEX-K-78x72x8,B09XGCSRXY,Hybrid Latex Mattress,Mattress,1,15906.0,1430.0,17336.0,13301.0
2026-03-02,SC-F-HYB-LATEX-Q-72x60x6,B09XGNVN9N,Hybrid Latex Mattress,Mattress,2,22589.0,2460.0,25049.0,20630.0
2026-03-02,SC-F-HYB-LATEX-Q-72x60x8,B09XFN2QX3,Hybrid Latex Mattress,Mattress,1,13025.0,1230.0,14255.0,13025.0
2026-03-02,SC-F-HYB-LATEX-Q-75x60x6,B09XGK6Q4L,Hybrid Latex Mattress,Mattress,4,45929.0,4920.0,50849.0,44039.0
2026-03-02,SC-F-HYB-LATEX-Q-78x60x8,B09XFL1H1T,Hybrid Latex Mattress,Mattress,2,27202.0,2460.0,29662.0,24614.0
2026-03-02,SC-F-HYB-LATEX-S-72x30x6,B0C857R73C,Hybrid Latex Mattress,Mattress,2,12794.0,1900.0,14694.0,12094.0
2026-03-02,SC-F-HYB-LATEX-S-72x36x6,B09XFMX37N,Hybrid Latex Mattress,Mattress,1,7405.0,950.0,8355.0,7405.0
2026-03-02,SC-F-LITEPILWPSET2-S-27X17,B0CV17V482,Fiber Lite,Pillows,2,1314.0,296.0,1610.0,1314.0
2026-03-02,SC-F-LTX-ORTHO-D-72X48X8,B0G3CY2MBY,Latex Ortho Mattress,Mattress,1,9137.0,950.0,10087.0,9137.0
2026-03-02,SC-F-LTX-ORTHO-D-72x48x5,B0G7J4C6NX,Latex Ortho Mattress,Mattress,2,13794.0,1900.0,15694.0,13794.0
2026-03-02,SC-F-LTX-ORTHO-K-75X72X6,B0G3C92JXT,Latex Ortho Mattress,Mattress,1,11307.0,1230.0,12537.0,10932.0
2026-03-02,SC-F-LTX-ORTHO-Q-72x60x5,B0G7JSR2H8,Latex Ortho Mattress,Mattress,1,7947.0,950.0,8897.0,6572.0
2026-03-02,SC-F-MBJRFTDSHEET-Q-78x60,B0CTTMM1S1,Jersey Fitted Bed sheet,Bedding,1,1600.0,198.0,1798.0,1600.0
2026-03-02,SC-F-ORIG-D-72x48x5,B0G2599S6F,Original Mattress,Mattress,1,7940.0,0.0,7940.0,7940.0
2026-03-02,SC-F-ORIG-K-72x70x8,B0F2TGCPMR,Original Mattress,Mattress,1,13337.0,1230.0,14567.0,12480.0
2026-03-02,SC-F-ORIG-K-72x72x4,B0G726PGD2,Original Mattress,Mattress,1,8682.0,950.0,9632.0,8682.0
2026-03-02,SC-F-ORIG-K-84x72x6,B0BB72TBNX,Original Mattress,Mattress,1,12357.0,1230.0,13587.0,11107.0
2026-03-02,SC-F-ORIG-Q-72x60x5,B0G25BHBT6,Original Mattress,Mattress,1,8913.0,950.0,9863.0,8913.0
2026-03-02,SC-F-ORIG-S-75x36x5,B0G25BBWF1,Original Mattress,Mattress,1,6386.0,810.0,7196.0,6386.0
2026-03-02,SC-F-PETORIG-L-32X46,B091CW7VX5,Pet Bed,Beds,1,1075.0,352.0,1427.0,1075.0
2026-03-02,SC-F-PETORTHO-L-24x48,B091CVV1CN,Pet Bed,Beds,1,1645.0,352.0,1997.0,1562.0
2026-03-02,SC-F-PROT-K-72x72,B0822WG76C,Protector,Bedding,3,2247.0,573.0,2820.0,2025.0
2026-03-02,SC-F-PROT-Q-72x60,B0822X8LZY,Protector,Bedding,2,1368.0,282.0,1650.0,1227.0
2026-03-02,SC-F-PROT-Q-78x60,B0822WJWGS,Protector,Bedding,2,1368.0,282.0,1650.0,1236.0
2026-03-02,SC-F-PROT-S-72x36,B0822W49Z9,Protector,Bedding,2,1028.0,282.0,1310.0,1028.0
2026-03-02,SC-F-S2CLPILW27x18,B08R7MX63N,Cloud Pillow,Pillows,2,2810.0,422.0,3232.0,2504.0
2026-03-02,SC-F-S2MFPILW-26x16x4,B08R8DC5BB,Memory Foam Pillow,Pillows,9,15206.0,1899.0,17105.0,13541.0
2026-03-02,SC-F-SLSTPILWCS-S-28x18,B0CWKZHV5T,Cotton Pillow Case,Bedding,1,437.0,153.0,590.0,437.0
2026-03-02,SC-F-SMFPILWSET1-BAM-S-22x14,B0F1Y416FR,Small Memory Foam Pillow,Pillows,3,3285.0,444.0,3729.0,3285.0
2026-03-02,SC-F-SUPRSOFTPILW-S-25x16,B0CRHS55FC,Marshmallow Pillow,Pillows,1,1296.0,211.0,1507.0,1296.0
2026-03-02,SC-F-ULTM-LATEX-K-78x72x10,B0D58MW6Z4,Ultima Latex Mattress,Mattress,1,27802.0,1430.0,29232.0,26339.0
2026-03-02,SC-F-ULTM-LATEX-K-78x72x8,B0D58NBSN9,Ultima Latex Mattress,Mattress,1,24827.0,1430.0,26257.0,22267.0
2026-03-02,SC-F-ULTM-LATEX-S-72x36x8,B0D58N56P9,Ultima Latex Mattress,Mattress,1,13307.0,1230.0,14537.0,13307.0
2026-03-02,SC-MFPILW-BAM-C-25x16,B09XFF5LPL,Contour Bamboo MF Pillow,Pillows,10,11969.0,1480.0,13449.0,11969.0
2026-03-02,SC-PILLOW,B0822SXQGH,Memory Foam Pillow,Pillows,4,3854.0,844.0,4698.0,3854.0
2026-03-02,SC-ULTM-D-75x48x8,B09XGGGP3H,Ultima Mattress,Mattress,1,12357.0,1230.0,13587.0,12091.0
2026-03-02,SC-ULTM-K-78x72x8,B09XGRWRST,Ultima Mattress,Mattress,3,50931.0,4290.0,55221.0,46238.0
2026-03-02,SC-ULTM-Q-72x60x8,B09XGCYCSY,Ultima Mattress,Mattress,2,29754.0,2860.0,32614.0,27519.0
2026-03-02,SC-WNTRCOMF-D-90x100,B0BM9RZ1DT,Winter Comforter,Bedding,1,2677.0,330.0,3007.0,2677.0
2026-03-02,SC72486,B077Q9YRMY,Original Mattress,Mattress,2,16314.0,1900.0,18214.0,15883.0
2026-03-02,SC72726,B077QJVWBR,Original Mattress,Mattress,3,34908.0,3690.0,38598.0,34033.0
2026-03-02,SC75366,B077Q9YRMV,Original Mattress,Mattress,1,6617.0,810.0,7427.0,5913.0
2026-03-02,SC75726,B0732TFNYC,Original Mattress,Mattress,1,11797.0,1230.0,13027.0,11797.0
2026-03-02,SC78726,B0732Y4N37,Original Mattress,Mattress,3,35710.0,3690.0,39400.0,32885.0
2026-03-02,SCP72488,B07PVC8NR5,Original Mattress,Mattress,1,9207.0,950.0,10157.0,9207.0
2026-03-02,SCP72608,B07MHZTP8Q,Original Mattress,Mattress,1,11307.0,1230.0,12537.0,9959.0
2026-03-02,SCP72728,B07M72KSRM,Original Mattress,Mattress,1,13337.0,1230.0,14567.0,11166.0
2026-03-02,SCP75608,B07MBSJ553,Original Mattress,Mattress,2,23314.0,2460.0,25774.0,21366.0
2026-03-02,SCP75728,B07MHZVDNP,Original Mattress,Mattress,1,13687.0,1230.0,14917.0,13687.0
2026-03-02,SCP78488,B07PW985JH,Original Mattress,Mattress,1,9557.0,0.0,9557.0,9557.0
2026-03-02,SCP78608,B07JN4C3NB,Original Mattress,Mattress,4,48028.0,4920.0,52948.0,43280.0
2026-03-02,SCP78728,B07JM7GQG4,Original Mattress,Mattress,4,55488.0,4920.0,60408.0,52580.0
2026-03-02,SCPROD75x48,B0822XBCF1,Protector,Bedding,4,3564.0,564.0,4128.0,3491.0
2026-03-02,SCPROK78x72,B0822WWZRV,Protector,Bedding,11,8355.0,2101.0,10456.0,7451.0
2026-03-02,SCPROS75x36,B0822V9JY4,Protector,Bedding,2,1928.0,282.0,2210.0,1928.0
2026-03-03,SC-78x60x10,B09BFD1ZB3,Original Mattress,Mattress,1,13617.0,1230.0,14847.0,12015.0
2026-03-03,SC-BABY48244,B07Y37P1T3,Baby Mattress,Mattress,1,1641.0,457.0,2098.0,1641.0
2026-03-03,SC-F-72x60x10,B09BFDR5TH,Original Mattress,Mattress,1,12888.0,1230.0,14118.0,12058.0
2026-03-03,SC-F-72x72x10,B09BFCFQ9G,Original Mattress,Mattress,2,29654.0,2460.0,32114.0,28879.0
2026-03-03,SC-F-BDPILW19x50,B08KS2YSFR,Cuddle Pillow,Pillows,1,1256.0,211.0,1467.0,1256.0
2026-03-03,SC-F-CLD-SPR-K-78x72x8,B0DGT8T9Q4,Cloud Spring Mattress,Mattress,1,21077.0,1430.0,22507.0,21077.0
2026-03-03,SC-F-COMF90x100,B08KTCGSQW,Reversible Comforter,Bedding,1,1435.0,330.0,1765.0,1435.0
2026-03-03,SC-F-CTR-LTX-BAM-24x16,B0F2N7Q9H3,Contour Latex Pillow,Pillows,2,8384.0,422.0,8806.0,8384.0
2026-03-03,SC-F-DGRPILWCS-S-28x18,B0CWL2NG34,Cotton Pillow Case,Bedding,1,402.0,135.0,537.0,372.0
2026-03-03,SC-F-HYB-LATEX-D-72x48x6,B09XFLYZ66,Hybrid Latex Mattress,Mattress,1,9065.0,950.0,10015.0,8574.0
2026-03-03,SC-F-HYB-LATEX-K-72x70x6,B0F2TGQH37,Hybrid Latex Mattress,Mattress,1,13457.0,1230.0,14687.0,12542.0
2026-03-03,SC-F-HYB-LATEX-K-72x72x8,B09XFMGSKV,Hybrid Latex Mattress,Mattress,5,75605.0,7150.0,82755.0,71448.0
2026-03-03,SC-F-HYB-LATEX-K-75x72x8,B09XFL1FR1,Hybrid Latex Mattress,Mattress,3,46443.0,4290.0,50733.0,40926.0
2026-03-03,SC-F-HYB-LATEX-K-78x72x6,B09XFKM8V6,Hybrid Latex Mattress,Mattress,2,27747.0,2460.0,30207.0,23858.0
2026-03-03,SC-F-HYB-LATEX-K-78x72x8,B09XGCSRXY,Hybrid Latex Mattress,Mattress,2,18118.0,2860.0,20978.0,15927.0
2026-03-03,SC-F-HYB-LATEX-Q-72x60x6,B09XGNVN9N,Hybrid Latex Mattress,Mattress,1,11297.0,1230.0,12527.0,9950.0
2026-03-03,SC-F-HYB-LATEX-Q-72x60x8,B09XFN2QX3,Hybrid Latex Mattress,Mattress,1,13025.0,1230.0,14255.0,13025.0
2026-03-03,SC-F-HYB-LATEX-Q-75x60x8,B09XFRNJCD,Hybrid Latex Mattress,Mattress,1,13313.0,1230.0,14543.0,13313.0
2026-03-03,SC-F-HYB-LATEX-Q-78x60x6,B09XGPZKTZ,Hybrid Latex Mattress,Mattress,1,11783.0,1230.0,13013.0,10382.0
2026-03-03,SC-F-HYB-LATEX-Q-78x60x8,B09XFL1H1T,Hybrid Latex Mattress,Mattress,1,13601.0,1230.0,14831.0,11741.0
2026-03-03,SC-F-LITEPILWPSET2-S-27X17,B0CV17V482,Fiber Lite,Pillows,2,1274.0,296.0,1570.0,1274.0
2026-03-03,SC-F-LTX-ORTHO-D-72X48X6,B0G3CFZX69,Latex Ortho Mattress,Mattress,3,23421.0,2850.0,26271.0,22219.0
2026-03-03,SC-F-LTX-ORTHO-D-72x48x5,B0G7J4C6NX,Latex Ortho Mattress,Mattress,1,6897.0,950.0,7847.0,6897.0
2026-03-03,SC-F-LTX-ORTHO-K-75X72X6,B0G3C92JXT,Latex Ortho Mattress,Mattress,1,11307.0,1230.0,12537.0,11307.0
2026-03-03,SC-F-LTX-ORTHO-K-78X72X8,B0G3D21NYY,Latex Ortho Mattress,Mattress,1,13547.0,1230.0,14777.0,13547.0
2026-03-03,SC-F-LTX-ORTHO-Q-72X60X8,B0G3CNC7P5,Latex Ortho Mattress,Mattress,1,11093.0,1230.0,12323.0,11093.0
2026-03-03,SC-F-LTX-ORTHO-Q-72x60x5,B0G7JSR2H8,Latex Ortho Mattress,Mattress,2,15894.0,1900.0,17794.0,15626.0
2026-03-03,SC-F-MFMTTOPPER-Q-78x60,B0CRS31GSK,Memory Foam Topper,Bedding,1,4626.0,409.0,5035.0,4626.0
2026-03-03,SC-F-ORIG-D-78x48x10,B0BB7HVLKV,Original Mattress,Mattress,1,10957.0,0.0,10957.0,10957.0
2026-03-03,SC-F-ORIG-Q-72x60x4,B0G71QJRXS,Original Mattress,Mattress,2,14034.0,1620.0,15654.0,13642.0
2026-03-03,SC-F-ORIG-Q-75x60x4,B0G71MDVVD,Original Mattress,Mattress,1,7296.0,950.0,8246.0,7296.0
2026-03-03,SC-F-ORIG-Q-78x60x4,B0G71QBLSG,Original Mattress,Mattress,1,7485.0,950.0,8435.0,7070.0
2026-03-03,SC-F-ORIG-S-72x30x5,B0G256TW3Q,Original Mattress,Mattress,1,5511.0,810.0,6321.0,4730.0
2026-03-03,SC-F-PETORIG-L-32X46,B091CW7VX5,Pet Bed,Beds,1,1042.0,352.0,1394.0,1042.0
2026-03-03,SC-F-PROT-D-78x48,B0822VYH6P,Protector,Bedding,2,1152.0,282.0,1434.0,1152.0
2026-03-03,SC-F-PROT-K-72x72,B0822WG76C,Protector,Bedding,6,4449.0,1146.0,5595.0,3871.0
2026-03-03,SC-F-PROT-Q-72x60,B0822X8LZY,Protector,Bedding,5,3364.0,705.0,4069.0,3000.0
2026-03-03,SC-F-PROT-Q-75x60,B0822WH47T,Protector,Bedding,4,2695.0,564.0,3259.0,2695.0
2026-03-03,SC-F-S2MFPILW-26x16x4,B08R8DC5BB,Memory Foam Pillow,Pillows,6,10077.0,1266.0,11343.0,8961.0
2026-03-03,SC-F-SMFPILWSET1-BAM-S-22x14,B0F1Y416FR,Small Memory Foam Pillow,Pillows,1,657.0,148.0,805.0,657.0
2026-03-03,SC-F-STD-LTX-BAM-24x16,B0F2SWXPMT,Standard Latex Pillow,Pillows,1,2096.0,211.0,2307.0,2096.0
2026-03-03,SC-F-ULTM-LATEX-D-72x48x8,B0D58MYX7J,Ultima Latex Mattress,Mattress,1,17527.0,1430.0,18957.0,17527.0
2026-03-03,SC-F-ULTM-LATEX-K-78x72x8,B0D58NBSN9,Ultima Latex Mattress,Mattress,1,24727.0,1430.0,26157.0,21588.0
2026-03-03,SC-FK-WEDGE-BLACK,B0GLG7C4KJ,Wedge Pillow,Mobility,1,1459.0,0.0,1459.0,1459.0
2026-03-03,SC-MFPILW-BAM-C-25x16,B09XFF5LPL,Contour Bamboo MF Pillow,Pillows,2,1714.0,296.0,2010.0,1714.0
2026-03-03,SC-PILLOW,B0822SXQGH,Memory Foam Pillow,Pillows,1,1221.0,211.0,1432.0,1221.0
2026-03-03,SC-SLMPILW-S-26x16,B09XBMFFZY,Slim Pillow,Pillows,1,703.0,148.0,851.0,703.0
2026-03-03,SC-ULTM-D-75x48x8,B09XGGGP3H,Ultima Mattress,Mattress,1,12357.0,1230.0,13587.0,11558.0
2026-03-03,SC-ULTM-K-78x72x8,B09XGRWRST,Ultima Mattress,Mattress,2,33954.0,2860.0,36814.0,29625.0
2026-03-03,SC-ULTM-Q-75x60x8,B09XGPK5MG,Ultima Mattress,Mattress,1,14877.0,1430.0,16307.0,13604.0
2026-03-03,SC72366,B078BRGTDM,Original Mattress,Mattress,2,12954.0,1620.0,14574.0,12954.0
2026-03-03,SC72606,B078BNQ7M4,Original Mattress,Mattress,1,10047.0,950.0,10997.0,8837.0
2026-03-03,SC72726,B077QJVWBR,Original Mattress,Mattress,4,46628.0,4920.0,51548.0,42470.0
2026-03-03,SC75606,B0732TMKP8,Original Mattress,Mattress,1,10157.0,950.0,11107.0,8936.0
2026-03-03,SC75726,B0732TFNYC,Original Mattress,Mattress,1,11716.0,1230.0,12946.0,10466.0
2026-03-03,SC78606,B0732WFNVL,Original Mattress,Mattress,2,20794.0,1900.0,22694.0,20794.0
2026-03-03,SC78726,B0732Y4N37,Original Mattress,Mattress,4,47495.0,4920.0,52415.0,42858.0
2026-03-03,SCP72608,B07MHZTP8Q,Original Mattress,Mattress,1,11307.0,1230.0,12537.0,11307.0
2026-03-03,SCP75608,B07MBSJ553,Original Mattress,Mattress,2,23233.0,2460.0,25693.0,23233.0
2026-03-03,SCP75728,B07MHZVDNP,Original Mattress,Mattress,1,13673.0,1230.0,14903.0,13673.0
2026-03-03,SCP78728,B07JM7GQG4,Original Mattress,Mattress,3,41691.0,3690.0,45381.0,41691.0
2026-03-03,SCPROD75x48,B0822XBCF1,Protector,Bedding,1,594.0,141.0,735.0,594.0
2026-03-03,SCPROK78x72,B0822WWZRV,Protector,Bedding,9,6832.0,1719.0,8551.0,6045.0
2026-03-04,SC-F-BDPILW19x50,B08KS2YSFR,Cuddle Pillow,Pillows,1,1296.0,211.0,1507.0,1296.0
2026-03-04,SC-F-DGRPILWCS-S-28x18,B0CWL2NG34,Cotton Pillow Case,Bedding,1,402.0,135.0,537.0,372.0
2026-03-04,SC-F-HYB-LATEX-D-72x48x6,B09XFLYZ66,Hybrid Latex Mattress,Mattress,1,9065.0,950.0,10015.0,8373.0
2026-03-04,SC-F-HYB-LATEX-D-72x48x8,B09XGGGNN9,Hybrid Latex Mattress,Mattress,1,10721.0,950.0,11671.0,10721.0
2026-03-04,SC-F-HYB-LATEX-K-72x70x8,B0F2TJJVDM,Hybrid Latex Mattress,Mattress,1,15337.0,1430.0,16767.0,15337.0
2026-03-04,SC-F-HYB-LATEX-K-72x72x6,B09XGDZQPC,Hybrid Latex Mattress,Mattress,1,13025.0,1230.0,14255.0,11487.0
